question,answer,topic
"Otomatis","Terima kasih telah menghubungi SpectrumByte Costumer Service🙏🏻. Silahkan beri tahu tentang keluhan pada ponsel atau laptop anda kami akan tangani dengan sepenuh hati😁","Sambut"

"Hallo","Terima kasih telah menghubungi SpectrumByte Costumer Service🙏🏻. Silahkan beri tahu tentang keluhan pada ponsel atau laptop anda kami akan tangani dengan sepenuh hati😁","Sapa"
"Halo","Terima kasih telah menghubungi SpectrumByte Costumer Service🙏🏻. Silahkan beri tahu tentang keluhan pada ponsel atau laptop anda kami akan tangani dengan sepenuh hati😁","Sapa"
"Hallo kak","Terima kasih telah menghubungi SpectrumByte Costumer Service🙏🏻. Silahkan beri tahu tentang keluhan pada ponsel atau laptop anda kami akan tangani dengan sepenuh hati😁","Sapa"
"Halo kak","Terima kasih telah menghubungi SpectrumByte Costumer Service🙏🏻. Silahkan beri tahu tentang keluhan pada ponsel atau laptop anda kami akan tangani dengan sepenuh hati😁","Sapa"


"hp saya yang di service apakah sudah selesai?","baik kak untuk masalah durasi perbaikan bisa langsung di tanyakan ke pihak teknisi secara langsung melalui tombol WhatsApp yang sudah kami sediakan","Durasi-Perbaikan"
"apakah hp saya sudah selesai","baik kak untuk masalah durasi perbaikan bisa langsung di tanyakan ke pihak teknisi secara langsung melalui tombol WhatsApp yang sudah kami sediakan","Durasi-Perbaikan"
"hp saya sudah selesai?","baik kak untuk masalah durasi perbaikan bisa langsung di tanyakan ke pihak teknisi secara langsung melalui tombol WhatsApp yang sudah kami sediakan","Durasi-Perbaikan"


"alamat toko dimana ya?","Alamat SpectrumByte ada di Jl. Arjuno No. 67, Sisir Kota Batu 📍","lokasi"
"lokasi SpectrumByte ada dimana?","Kami berlokasi di Jl. Arjuno NO. 67, Sisir Kota Batu, gampang ditemuin kok 👍","lokasi"
"dimana alamat service?","Service center kami ada di Jl. Arjuno NO. 67, Sisir Kota Batu","lokasi"
"bisa share alamat toko","Tentu kak, alamat kami: Jl. Arjuno NO. 67, Sisir Kota Batu","lokasi"
"baik kak lokasi dimana?","Kami berlokasi di Jl. Arjuno NO. 67, Sisir Kota Batu kak","lokasi"
"apakah hp bisa di kirim?","tingal kirim aja kak ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","lokasi"


"apakah bisa menerima layanan luar kota?","Bisa banget kak tingal kirim aja ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","Link_Lokasi_Pengiriman"
"alamat pengiriman bisa kemana ya?","tingal kirim aja kak ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","Link_Lokasi_Pengiriman"
"bisa kirim link pengiriman","tingal kirim aja kak ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","Link_Lokasi_Pengiriman"
"ada link nya","tingal kirim aja kak ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","Link_Lokasi_Pengiriman"
"apakah hp bisa di kirim?","tingal kirim aja kak ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","Link_Lokasi_Pengiriman"
"apakah hp yang akan di service bisa di kirim?","Bisa banget kak tingal kirim aja ke https://maps.app.goo.gl/9DotEHv8pXzHExzr5","Link_Lokasi_Pengiriman"


"bisakah pengambilanya melalui pengiriman","bisa kak, bagi yang perangkatnya dirasa sudah selesai bisa konformasi atau menanyakan melalui tombol WhatsApp yang sudah kami sertakan","Pengambilan"
"jika sudah apakah bisa di kirim?","bisa kak, bagi yang perangkatnya dirasa sudah selesai bisa konformasi atau menanyakan melalui tombol WhatsApp yang sudah kami sertakan","Pengambilan"

"bolehkah saya minta contact personya","Baik untuk nomor WhatsApp sudah kami sertakan di tombol WhatsApp","No_WA"
"ada no wa nya","baik untuk nomor WhatsApp sudah kami sertakan di tombol WhatsApp","No_WA"
"ada nomor Wa?","baik untuk nomor WhatsApp sudah kami sertakan di tombol WhatsApp","No_WA"



"jam buka sampai jam berapa","Jam operasional kami dari pukul 09.00 sampai 23.00 setiap hari kak","jam_operasional"
"buka dari jam berapa","Kami buka setiap hari mulai jam 09.00 sampai jam 23.00 kak","jam_operasional"

